Party,Leader,Candidates,Total votes,Total MPs,MPs gained,MPs lost,"MPs, net change","MPs, of total (%)","Votes, of total (%)","Total votes, change(%)"
Conservative,David Cameron,647,11300303,330,38,10,+28,50.8,36.8,+0.7
Labour,Ed Miliband,631,9344328,232,24,48,−24,35.7,30.4,+1.5
UKIP,Nigel Farage,624,3881129,1,0,1,–1,0.2,12.6,+9.5
Liberal Democrat,Nick Clegg,631,2415888,8,0,48,–48,1.2,7.9,−15.1
SNP,Nicola Sturgeon,59,1454436,56,50,0,+50,8.6,4.7,+3.1
Green,Natalie Bennett,575,1157613,1,0,0,0,0.2,3.8,+2.8
DUP,Peter Robinson,16,184260,8,1,1,0,1.2,0.6,0.0
Plaid Cymru,Leanne Wood,40,181694,3,0,0,0,0.5,0.6,0.0
Sinn Féin,Gerry Adams,18,176232,4,0,1,−1,0.6,0.6,0.0
UUP,Mike Nesbitt,15,114935,2,2,0,+2,0.3,0.4,N/A
SDLP,Alasdair McDonnell,18,99809,3,0,0,0,0.5,0.3,0.0
Independent,N/A,170,98711,1,0,4,–4,0.2,0.3,−0.2
Alliance,David Ford,18,61556,0,0,1,−1,0,0.2,+0.1
TUSC,Dave Nellist,128,36327,0,0,0,0,0,0.1,+0.1
Speaker,John Bercow,1,34617,1,0,0,0,0.2,0.1,0.0
National Health Action,Richard Taylor & Clive Peedell,13,20210,0,0,0,0,0,0.1,0.0
TUV,Jim Allister,7,16538,0,0,0,0,0,0.1,0.0
Respect,George Galloway,4,9989,0,0,1,–1,0,0.0,−0.1
CISTA,Paul Birch,34,8419,0,0,0,0,0,0.0,New
Other parties,N/A,7958,0,0,0,0,0,0.0,N/A
People Before Profit,Collective,1,7854,0,0,0,0,0,0.0,0.0
Yorkshire First,Richard Carter,14,6811,0,0,0,0,0,0.0,New
English Democrats,Robin Tilbrook,35,6531,0,0,0,0,0,0.0,−0.2
Mebyon Kernow,Dick Cole,6,5675,0,0,0,0,0,0.0,0.0
Lincolnshire Independents,Marianne Overton,5,5407,0,0,0,0,0,0.0,0.0
Liberal,Steve Radford,4,4480,0,0,0,0,0,0.0,0.0
Monster Raving Loony,Alan "Howling Laud" Hope,27,3898,0,0,0,0,0,0.0,0.0
Independent Save Withybush Save Lives,Chris Overton,1,3729,0,0,0,0,0,0.0,New
Socialist Labour,Arthur Scargill,8,3481,0,0,0,0,0,0.0,0.0
Christian Peoples,Sidney Cordle,17,3260,0,0,0,0,0,0.0,0.0
Christian,Jeff Green,9,3205,0,0,0,0,0,0.0,−0.1
No description,N/A,3012,0,0,0,0,0,0.0,0.0
Workers' Party,John Lowry,5,2724,0,0,0,0,0,0.0,0.0
North East Party,Hilton Dawson,4,2138,0,0,0,0,0,0.0,0.0
Poole People,Mike Howell,1,1766,0,0,0,0,0,0.0,New
BNP,Adam Walker,8,1667,0,0,0,0,0,0.0,−1.9
Residents for Uttlesford,John Lodge,1,1658,0,0,0,0,0,0.0,New
Rochdale First Party,Farooq Ahmed,1,1535,0,0,0,0,0,0.0,New
Communist,Robert Griffiths,9,1229,0,0,0,0,0,0.0,New
Pirate,Laurence Kaye,6,1130,0,0,0,0,0,0.0,0.0
National Front,Kevin Bryan,7,1114,0,0,0,0,0,0.0,0.0
Communities United,Kamran Malik,5,1102,0,0,0,0,0,0.0,New
Reality,Mark "Bez" Berry,3,1029,0,0,0,0,0,0.0,New
The Southport Party,David Cobham,1,992,0,0,0,0,0,0.0,New
All People's Party,Prem Goyal,4,981,0,0,0,0,0,0.0,New
Peace,John Morris,4,957,0,0,0,0,0,0.0,New
Bournemouth Independent Alliance,David Ross,1,903,0,0,0,0,0,0.0,New
Socialist (GB),Collective,10,899,0,0,0,0,0,0.0,New
Scottish Socialist,Executive Committee,4,875,0,0,0,0,0,0.0,0.0
Alliance for Green Socialism,Mike Davies,4,852,0,0,0,0,0,0.0,0.0
Your Vote Could Save Our Hospital,Sandra Allison,1,849,0,0,0,0,0,0.0,New
Wigan Independents,Gareth Fairhurst,1,768,0,0,0,0,0,0.0,New
Animal Welfare,Vanessa Hudson,4,736,0,0,0,0,0,0.0,0.0
Something New,James Smith,2,695,0,0,0,0,0,0.0,New
Consensus,Helen Tyrer,1,637,0,0,0,0,0,0.0,New
NLP,National Council,2,627,0,0,0,0,0,0.0,New
Independents Against Social Injustice,Steve Walmsley,1,603,0,0,0,0,0,0.0,New
Independence from Europe,Mike Nattrass,5,578,0,0,0,0,0,0.0,New
Whig,Waleed Ghani,4,561,0,0,0,0,0,0.0,New
Guildford Greenbelt Group,Susan Parker,1,538,0,0,0,0,0,0.0,New
Class War,Ian Bone,7,526,0,0,0,0,0,0.0,New
Above and Beyond,Mark Flanagan,5,522,0,0,0,0,0,0.0,New
Northern,Mark Dawson,5,506,0,0,0,0,0,0.0,New
Workers Revolutionary,Sheila Torrance,7,488,0,0,0,0,0,0.0,0.0
Left Unity,Kate Hudson,3,455,0,0,0,0,0,0.0,New
Liberty,Paul Weston,3,418,0,0,0,0,0,0.0,New
People First,Collective,1,407,0,0,0,0,0,0.0,New
